label,text,source
spam,"Huh, anyway check out this you[tube] channel: kobyoshi02",Youtube01-Psy.csv
spam,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",Youtube01-Psy.csv
spam,just for test I have to say murdev.com,Youtube01-Psy.csv
spam,me shaking my sexy ass on my channel enjoy ^_^ ﻿,Youtube01-Psy.csv
spam,watch?v=vtaRGgvGtWQ   Check this out .﻿,Youtube01-Psy.csv
spam,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",Youtube01-Psy.csv
spam,Subscribe to my channel ﻿,Youtube01-Psy.csv
ham,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,Youtube01-Psy.csv
spam,You should check my channel for Funny VIDEOS!!﻿,Youtube01-Psy.csv
spam,and u should.d check my channel and tell me what I should do next!﻿,Youtube01-Psy.csv
spam,Hey subscribe to me﻿,Youtube01-Psy.csv
spam, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,Youtube01-Psy.csv
spam,https://twitter.com/GBphotographyGB﻿,Youtube01-Psy.csv
spam,subscribe like comment﻿,Youtube01-Psy.csv
spam,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,Youtube01-Psy.csv
spam,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",Youtube01-Psy.csv
ham,I'm only checking the views﻿,Youtube01-Psy.csv
spam,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,Youtube01-Psy.csv
spam,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,Youtube01-Psy.csv
spam,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",Youtube01-Psy.csv
ham,i think about 100 millions of the views come from people who only wanted to  check the views﻿,Youtube01-Psy.csv
spam,subscribe to my channel people :D﻿,Youtube01-Psy.csv
spam,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,Youtube01-Psy.csv
ham,just checking the views﻿,Youtube01-Psy.csv
spam,CHECK OUT MY CHANNEL,Youtube01-Psy.csv
spam,marketglory . com/strategygame/andrijamatf earn real money from game,Youtube01-Psy.csv
spam,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,Youtube01-Psy.csv
spam,Check me out! I'm kyle. I rap so yeah ﻿,Youtube01-Psy.csv
ham,I dont even watch it anymore i just come here to check on 2 Billion or not﻿,Youtube01-Psy.csv
spam,"Subscribe to me for free Android games, apps.. ﻿",Youtube01-Psy.csv
spam,everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,Youtube01-Psy.csv
ham,"Came here to check the views, goodbye.﻿",Youtube01-Psy.csv
spam,sub my channel for no reason -_-﻿,Youtube01-Psy.csv
spam,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",Youtube01-Psy.csv
ham,2 billion....Coming soon﻿,Youtube01-Psy.csv
